run,sharpe,ann_return,max_drawdown,win_rate,n_trades
162,0.2387928325717268,0.07093628429709065,-0.46049921314539,0.48209798994974873,674
163,-0.434761362018949,-0.12879495969361676,-0.9027901732088531,0.46949685534591196,645
164,-0.38220989208023826,-0.11230609954916959,-0.8291307764898693,0.4641057934508816,692
165,-0.30381159043872324,-0.08728517855765339,-0.8224375798618743,0.4637134778510839,683
166,-0.27947255854163594,-0.08164179964283491,-0.7791709923433463,0.47108736643620364,694
167,0.08758030963472527,0.02557310317043804,-0.6144720102934056,0.4715319282793331,667
168,0.21883415658712602,0.06440464627621223,-0.5278309058694182,0.4894687205281358,630
169,-0.0768002794802334,-0.021940557355918267,-0.6323624005768191,0.4683385579937304,701
170,-0.028614735281469662,-0.008372856634263681,-0.5939464499120662,0.4751884422110553,699
171,0.4143506090284615,0.12149210552346346,-0.5818266751889134,0.4720125786163522,669
172,-0.09461414474999884,-0.028072161634038917,-0.8020756534018836,0.4618524332810047,679
173,0.043454993198130946,0.012581984724246542,-0.693188193091842,0.47940899088337,689
174,0.24430848266125796,0.07148838120215806,-0.6558466402838767,0.48367859384808537,650
175,-0.1223236150086368,-0.035158809934707436,-0.7226353165228541,0.46605908233815213,704
176,-0.23706972949034144,-0.0703461666777403,-0.8000088548107588,0.4585427135678392,655
177,-0.20507526042955074,-0.05970700031202736,-0.722893005627296,0.46898496240601506,693
178,0.012519579619254666,0.0036954483689131123,-0.8269744864191391,0.4758771929824561,702
179,0.5388729830502013,0.15740829365653708,-0.5398362705779942,0.49401386263390046,662
180,-0.04598494748614805,-0.013754225715483015,-0.8431145740158015,0.46949685534591196,670
181,-0.025385081401227326,-0.0073204348911278805,-0.7087714947833648,0.47593582887700536,696
182,-0.02167052086589409,-0.006273674064255941,-0.8364790680124656,0.479874213836478,679
183,-0.3279539725076121,-0.09474525007925327,-0.9271866071583706,0.4847628023876846,695
184,0.05185240981773281,0.015145360246216377,-0.7126326703175015,0.4855254877281309,692
185,-0.33481413609847954,-0.09830249008128666,-0.8298799863121188,0.4666456891126495,695
186,-0.39713945142096047,-0.11400818011518077,-0.8527371136177234,0.4734025810513063,691
187,-0.04541645766231129,-0.012963093260460634,-0.6592743074131471,0.47894406033940917,740
188,-0.23572899779805812,-0.06883118381667497,-0.8510742337442356,0.4679446888749214,711
189,-0.04632708806259997,-0.013621129639091789,-0.5675866780266987,0.47232704402515724,673
190,-0.13113976535032082,-0.03819171947427824,-0.6245117368002492,0.4816211121583412,693
191,-0.18880783395840683,-0.05545332044107343,-0.779523162413034,0.4746616304689959,697
192,-0.5238815901597904,-0.15323122144678147,-0.9216951996085113,0.4619257394587791,714
193,-0.3788184984093815,-0.10902617733011677,-0.8418610515909934,0.4755905511811024,696
194,0.19356629797324176,0.055465409061765,-0.7049726245850569,0.48900062853551224,641
